fold,validation_method,fit_start_date,fit_end_date,fit_windows,calibration_start_date,calibration_end_date,calibration_windows,train_windows,test_start_date,test_end_date,test_windows,lookback_days,horizon_days,calibration_fraction_within_train,target_coverage,seed,model,hidden_channels,kernel_size,mamba_state_dim,mamba_conv,mamba_expand,epochs,learning_rate,test_length_basis,test_length_selected_from_results,confirmatory_external_validation,analysis_method,hyperparameter_tuning,best_seed_selected,seed_set_predeclared,qhat_MJ9_mm,qhat_MJ1_mm,qhat_MJ3_mm,qhat_ATU1_mm,qhat_ATU2_mm,qhat_ATU3_mm,qhat_ATU4_mm,qhat_ATU5_mm,delta_scale_MJ9_mm,delta_scale_MJ1_mm,delta_scale_MJ3_mm,delta_scale_ATU1_mm,delta_scale_ATU2_mm,delta_scale_ATU3_mm,delta_scale_ATU4_mm,delta_scale_ATU5_mm
1,expanding_window_nonoverlapping_fixed_287d_test,2016-08-06,2017-10-31,452,2017-11-01,2018-02-20,112,564,2018-02-21,2018-12-04,287,7,1,0.2,0.8,0,OfficialCNNMambaForecast,16,3,16,4,2,120,0.001,matches_existing_287d_holdout,False,False,fixed_protocol_five_seed_optimization_diagnostic,False,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14271551089665546,0.30413831994928,0.44791121860644906,1.6626420436618845,1.222121035706272,1.7275324117885469,0.9939451366539771,1.4332330446556816
2,expanding_window_nonoverlapping_fixed_287d_test,2016-08-06,2018-06-17,681,2018-06-18,2018-12-04,170,851,2018-12-05,2019-09-17,287,7,1,0.2,0.8,0,OfficialCNNMambaForecast,16,3,16,4,2,120,0.001,matches_existing_287d_holdout,False,False,fixed_protocol_five_seed_optimization_diagnostic,False,False,True,0.048696241114726035,0.0,0.015967921895935433,0.36347175673176935,0.3186797804420962,0.15534154144279455,0.08206271046435631,0.0,0.1211333584869902,0.2798624438385726,0.41405041286337124,1.3854989732812948,1.0173969335540691,1.4376525825274904,0.8303125163206194,1.2063300287651233
3,expanding_window_nonoverlapping_fixed_287d_test,2016-08-06,2019-02-02,911,2019-02-03,2019-09-17,227,1138,2019-09-18,2020-06-30,287,7,1,0.2,0.8,0,OfficialCNNMambaForecast,16,3,16,4,2,120,0.001,matches_existing_287d_holdout,False,False,fixed_protocol_five_seed_optimization_diagnostic,False,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1171142400006944,0.2667088115873177,0.3799978321203545,1.2195429732687,0.8969805786148646,1.2703380959248385,0.7329707999533791,1.0772640019678348
1,expanding_window_nonoverlapping_fixed_287d_test,2016-08-06,2017-10-31,452,2017-11-01,2018-02-20,112,564,2018-02-21,2018-12-04,287,7,1,0.2,0.8,1,OfficialCNNMambaForecast,16,3,16,4,2,120,0.001,matches_existing_287d_holdout,False,False,fixed_protocol_five_seed_optimization_diagnostic,False,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14271551089665546,0.30413831994928,0.44791121860644906,1.6626420436618845,1.222121035706272,1.7275324117885469,0.9939451366539771,1.4332330446556816
2,expanding_window_nonoverlapping_fixed_287d_test,2016-08-06,2018-06-17,681,2018-06-18,2018-12-04,170,851,2018-12-05,2019-09-17,287,7,1,0.2,0.8,1,OfficialCNNMambaForecast,16,3,16,4,2,120,0.001,matches_existing_287d_holdout,False,False,fixed_protocol_five_seed_optimization_diagnostic,False,False,True,0.06710551283958921,0.018965270724834227,0.0,0.4720251162336808,0.30727126761877344,0.12802929125314222,0.012417912374019124,0.2144322048804952,0.1211333584869902,0.2798624438385726,0.41405041286337124,1.3854989732812948,1.0173969335540691,1.4376525825274904,0.8303125163206194,1.2063300287651233
3,expanding_window_nonoverlapping_fixed_287d_test,2016-08-06,2019-02-02,911,2019-02-03,2019-09-17,227,1138,2019-09-18,2020-06-30,287,7,1,0.2,0.8,1,OfficialCNNMambaForecast,16,3,16,4,2,120,0.001,matches_existing_287d_holdout,False,False,fixed_protocol_five_seed_optimization_diagnostic,False,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1171142400006944,0.2667088115873177,0.3799978321203545,1.2195429732687,0.8969805786148646,1.2703380959248385,0.7329707999533791,1.0772640019678348
1,expanding_window_nonoverlapping_fixed_287d_test,2016-08-06,2017-10-31,452,2017-11-01,2018-02-20,112,564,2018-02-21,2018-12-04,287,7,1,0.2,0.8,2,OfficialCNNMambaForecast,16,3,16,4,2,120,0.001,matches_existing_287d_holdout,False,False,fixed_protocol_five_seed_optimization_diagnostic,False,False,True,0.0,0.0,0.0,0.0,0.05962296571868819,0.0,0.0,0.0055800301434487665,0.14271551089665546,0.30413831994928,0.44791121860644906,1.6626420436618845,1.222121035706272,1.7275324117885469,0.9939451366539771,1.4332330446556816
2,expanding_window_nonoverlapping_fixed_287d_test,2016-08-06,2018-06-17,681,2018-06-18,2018-12-04,170,851,2018-12-05,2019-09-17,287,7,1,0.2,0.8,2,OfficialCNNMambaForecast,16,3,16,4,2,120,0.001,matches_existing_287d_holdout,False,False,fixed_protocol_five_seed_optimization_diagnostic,False,False,True,0.038648437556105364,0.05641629276794902,0.2947081405827703,0.8519995105123144,0.9039535456817589,0.7837654306653121,0.35001571625593897,0.6701627942433106,0.1211333584869902,0.2798624438385726,0.41405041286337124,1.3854989732812948,1.0173969335540691,1.4376525825274904,0.8303125163206194,1.2063300287651233
3,expanding_window_nonoverlapping_fixed_287d_test,2016-08-06,2019-02-02,911,2019-02-03,2019-09-17,227,1138,2019-09-18,2020-06-30,287,7,1,0.2,0.8,2,OfficialCNNMambaForecast,16,3,16,4,2,120,0.001,matches_existing_287d_holdout,False,False,fixed_protocol_five_seed_optimization_diagnostic,False,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1171142400006944,0.2667088115873177,0.3799978321203545,1.2195429732687,0.8969805786148646,1.2703380959248385,0.7329707999533791,1.0772640019678348
1,expanding_window_nonoverlapping_fixed_287d_test,2016-08-06,2017-10-31,452,2017-11-01,2018-02-20,112,564,2018-02-21,2018-12-04,287,7,1,0.2,0.8,3,OfficialCNNMambaForecast,16,3,16,4,2,120,0.001,matches_existing_287d_holdout,False,False,fixed_protocol_five_seed_optimization_diagnostic,False,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14271551089665546,0.30413831994928,0.44791121860644906,1.6626420436618845,1.222121035706272,1.7275324117885469,0.9939451366539771,1.4332330446556816
2,expanding_window_nonoverlapping_fixed_287d_test,2016-08-06,2018-06-17,681,2018-06-18,2018-12-04,170,851,2018-12-05,2019-09-17,287,7,1,0.2,0.8,3,OfficialCNNMambaForecast,16,3,16,4,2,120,0.001,matches_existing_287d_holdout,False,False,fixed_protocol_five_seed_optimization_diagnostic,False,False,True,0.0317646855181124,0.0,0.0,0.5616420449712791,0.0,0.0,0.0,0.0,0.1211333584869902,0.2798624438385726,0.41405041286337124,1.3854989732812948,1.0173969335540691,1.4376525825274904,0.8303125163206194,1.2063300287651233
3,expanding_window_nonoverlapping_fixed_287d_test,2016-08-06,2019-02-02,911,2019-02-03,2019-09-17,227,1138,2019-09-18,2020-06-30,287,7,1,0.2,0.8,3,OfficialCNNMambaForecast,16,3,16,4,2,120,0.001,matches_existing_287d_holdout,False,False,fixed_protocol_five_seed_optimization_diagnostic,False,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1171142400006944,0.2667088115873177,0.3799978321203545,1.2195429732687,0.8969805786148646,1.2703380959248385,0.7329707999533791,1.0772640019678348
1,expanding_window_nonoverlapping_fixed_287d_test,2016-08-06,2017-10-31,452,2017-11-01,2018-02-20,112,564,2018-02-21,2018-12-04,287,7,1,0.2,0.8,4,OfficialCNNMambaForecast,16,3,16,4,2,120,0.001,matches_existing_287d_holdout,False,False,fixed_protocol_five_seed_optimization_diagnostic,False,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14271551089665546,0.30413831994928,0.44791121860644906,1.6626420436618845,1.222121035706272,1.7275324117885469,0.9939451366539771,1.4332330446556816
2,expanding_window_nonoverlapping_fixed_287d_test,2016-08-06,2018-06-17,681,2018-06-18,2018-12-04,170,851,2018-12-05,2019-09-17,287,7,1,0.2,0.8,4,OfficialCNNMambaForecast,16,3,16,4,2,120,0.001,matches_existing_287d_holdout,False,False,fixed_protocol_five_seed_optimization_diagnostic,False,False,True,0.03537401183501743,0.0,0.0,0.3345810301243546,0.0,0.0,0.0,0.0,0.1211333584869902,0.2798624438385726,0.41405041286337124,1.3854989732812948,1.0173969335540691,1.4376525825274904,0.8303125163206194,1.2063300287651233
3,expanding_window_nonoverlapping_fixed_287d_test,2016-08-06,2019-02-02,911,2019-02-03,2019-09-17,227,1138,2019-09-18,2020-06-30,287,7,1,0.2,0.8,4,OfficialCNNMambaForecast,16,3,16,4,2,120,0.001,matches_existing_287d_holdout,False,False,fixed_protocol_five_seed_optimization_diagnostic,False,False,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1171142400006944,0.2667088115873177,0.3799978321203545,1.2195429732687,0.8969805786148646,1.2703380959248385,0.7329707999533791,1.0772640019678348
