fold,validation_method,fit_start_date,fit_end_date,fit_windows,calibration_start_date,calibration_end_date,calibration_windows,train_windows,test_start_date,test_end_date,test_windows,lookback_days,horizon_days,calibration_fraction_within_train,target_coverage,seed,model,hidden_channels,kernel_size,epochs,learning_rate,test_length_basis,test_length_selected_from_results,confirmatory_external_validation,inner_train_start_date,inner_train_end_date,inner_train_windows,inner_validation_start_date,inner_validation_end_date,inner_validation_windows,analysis_method,selection_metric,inner_validation_fraction,max_epochs,minimum_observed_epochs,patience,minimum_relative_improvement,selected_epoch,selected_validation_loss,observed_epochs,stop_reason,fixed_reference_epochs,hyperparameter_tuning,best_seed_selected,seed_set_predeclared,inner_delta_scale_MJ9_mm,inner_delta_scale_MJ1_mm,inner_delta_scale_MJ3_mm,inner_delta_scale_ATU1_mm,inner_delta_scale_ATU2_mm,inner_delta_scale_ATU3_mm,inner_delta_scale_ATU4_mm,inner_delta_scale_ATU5_mm,refit_delta_scale_MJ9_mm,refit_delta_scale_MJ1_mm,refit_delta_scale_MJ3_mm,refit_delta_scale_ATU1_mm,refit_delta_scale_ATU2_mm,refit_delta_scale_ATU3_mm,refit_delta_scale_ATU4_mm,refit_delta_scale_ATU5_mm,qhat_MJ9_mm,qhat_MJ1_mm,qhat_MJ3_mm,qhat_ATU1_mm,qhat_ATU2_mm,qhat_ATU3_mm,qhat_ATU4_mm,qhat_ATU5_mm,config_id,weight_decay,parameter_count,limited_predeclared_sensitivity,configuration_selected_by_inner_validation_only,outer_test_used_for_ranking,reference_config_id
1,expanding_window_nonoverlapping_fixed_287d_test,2016-08-06,2017-10-31,452,2017-11-01,2018-02-20,112,564,2018-02-21,2018-12-04,287,7,1,0.2,0.8,0,ConvLSTMForecast,16,3,16,0.001,matches_existing_287d_holdout,False,False,2016-08-06,2017-08-02,362,2017-08-03,2017-10-31,90,predeclared_2x2_capacity_weight_decay_sensitivity,normalized_mean_pinball_loss,0.2,300,30,30,0.001,16,1.279114842414856,45,patience_exhausted,120,True,False,True,0.15670202464015595,0.3199239109168842,0.4206302713845101,0.4703215771856165,0.4037353397216564,0.5634046501492664,0.36210129916111694,0.5728711316702676,0.14271551089665546,0.30413831994928,0.44791121860644906,1.6626420436618845,1.222121035706272,1.7275324117885469,0.9939451366539771,1.4332330446556816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,h16_wd0,0.0,12787,True,True,False,h16_wd0
2,expanding_window_nonoverlapping_fixed_287d_test,2016-08-06,2018-06-17,681,2018-06-18,2018-12-04,170,851,2018-12-05,2019-09-17,287,7,1,0.2,0.8,0,ConvLSTMForecast,8,3,35,0.001,matches_existing_287d_holdout,False,False,2016-08-06,2018-02-01,545,2018-02-02,2018-06-17,136,predeclared_2x2_capacity_weight_decay_sensitivity,normalized_mean_pinball_loss,0.2,300,30,30,0.001,35,0.1473015397787094,65,patience_exhausted,120,True,False,True,0.13192164310694846,0.2930621906757063,0.42641074931436823,1.533866928079637,1.125471409780948,1.5890200122193279,0.9173803505404942,1.3279022022326623,0.1211333584869902,0.2798624438385726,0.41405041286337124,1.3854989732812948,1.0173969335540691,1.4376525825274904,0.8303125163206194,1.2063300287651233,0.053707339228367346,0.0,0.04503752857908694,0.06427405325308655,0.2339266679543357,0.218101318539766,0.16176500761861234,0.10704954743380313,h08_wd0,0.0,4091,True,True,False,h16_wd0
3,expanding_window_nonoverlapping_fixed_287d_test,2016-08-06,2019-02-02,911,2019-02-03,2019-09-17,227,1138,2019-09-18,2020-06-30,287,7,1,0.2,0.8,0,ConvLSTMForecast,16,3,1,0.001,matches_existing_287d_holdout,False,False,2016-08-06,2018-08-04,729,2018-08-05,2019-02-02,182,predeclared_2x2_capacity_weight_decay_sensitivity,normalized_mean_pinball_loss,0.2,300,30,30,0.001,1,0.08698420971632004,31,patience_exhausted,120,True,False,True,0.11977870741473977,0.27389422093767596,0.4077632638429722,1.345100372832187,0.9887317775548478,1.3969976244143518,0.8067532582323983,1.17367982432379,0.1171142400006944,0.2667088115873177,0.3799978321203545,1.2195429732687,0.8969805786148646,1.2703380959248385,0.7329707999533791,1.0772640019678348,0.024513382875966272,0.026289230821021192,0.0,0.0,0.0,0.0,0.0,0.0,h16_wd1e4,0.0001,12787,True,True,False,h16_wd0
1,expanding_window_nonoverlapping_fixed_287d_test,2016-08-06,2017-10-31,452,2017-11-01,2018-02-20,112,564,2018-02-21,2018-12-04,287,7,1,0.2,0.8,1,ConvLSTMForecast,16,3,22,0.001,matches_existing_287d_holdout,False,False,2016-08-06,2017-08-02,362,2017-08-03,2017-10-31,90,predeclared_2x2_capacity_weight_decay_sensitivity,normalized_mean_pinball_loss,0.2,300,30,30,0.001,22,1.3042781352996826,51,patience_exhausted,120,True,False,True,0.15670202464015595,0.3199239109168842,0.4206302713845101,0.4703215771856165,0.4037353397216564,0.5634046501492664,0.36210129916111694,0.5728711316702676,0.14271551089665546,0.30413831994928,0.44791121860644906,1.6626420436618845,1.222121035706272,1.7275324117885469,0.9939451366539771,1.4332330446556816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,h16_wd0,0.0,12787,True,True,False,h16_wd0
2,expanding_window_nonoverlapping_fixed_287d_test,2016-08-06,2018-06-17,681,2018-06-18,2018-12-04,170,851,2018-12-05,2019-09-17,287,7,1,0.2,0.8,1,ConvLSTMForecast,8,3,30,0.001,matches_existing_287d_holdout,False,False,2016-08-06,2018-02-01,545,2018-02-02,2018-06-17,136,predeclared_2x2_capacity_weight_decay_sensitivity,normalized_mean_pinball_loss,0.2,300,30,30,0.001,30,0.14093613624572754,60,patience_exhausted,120,True,False,True,0.13192164310694846,0.2930621906757063,0.42641074931436823,1.533866928079637,1.125471409780948,1.5890200122193279,0.9173803505404942,1.3279022022326623,0.1211333584869902,0.2798624438385726,0.41405041286337124,1.3854989732812948,1.0173969335540691,1.4376525825274904,0.8303125163206194,1.2063300287651233,0.10537612204922198,0.0,0.0,0.0,0.013751563939138123,0.0,0.0,0.0,h08_wd0,0.0,4091,True,True,False,h16_wd0
3,expanding_window_nonoverlapping_fixed_287d_test,2016-08-06,2019-02-02,911,2019-02-03,2019-09-17,227,1138,2019-09-18,2020-06-30,287,7,1,0.2,0.8,1,ConvLSTMForecast,16,3,98,0.001,matches_existing_287d_holdout,False,False,2016-08-06,2018-08-04,729,2018-08-05,2019-02-02,182,predeclared_2x2_capacity_weight_decay_sensitivity,normalized_mean_pinball_loss,0.2,300,30,30,0.001,98,0.08073031902313232,128,patience_exhausted,120,True,False,True,0.11977870741473977,0.27389422093767596,0.4077632638429722,1.345100372832187,0.9887317775548478,1.3969976244143518,0.8067532582323983,1.17367982432379,0.1171142400006944,0.2667088115873177,0.3799978321203545,1.2195429732687,0.8969805786148646,1.2703380959248385,0.7329707999533791,1.0772640019678348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,h16_wd1e4,0.0001,12787,True,True,False,h16_wd0
1,expanding_window_nonoverlapping_fixed_287d_test,2016-08-06,2017-10-31,452,2017-11-01,2018-02-20,112,564,2018-02-21,2018-12-04,287,7,1,0.2,0.8,2,ConvLSTMForecast,16,3,17,0.001,matches_existing_287d_holdout,False,False,2016-08-06,2017-08-02,362,2017-08-03,2017-10-31,90,predeclared_2x2_capacity_weight_decay_sensitivity,normalized_mean_pinball_loss,0.2,300,30,30,0.001,17,1.2475908994674683,47,patience_exhausted,120,True,False,True,0.15670202464015595,0.3199239109168842,0.4206302713845101,0.4703215771856165,0.4037353397216564,0.5634046501492664,0.36210129916111694,0.5728711316702676,0.14271551089665546,0.30413831994928,0.44791121860644906,1.6626420436618845,1.222121035706272,1.7275324117885469,0.9939451366539771,1.4332330446556816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,h16_wd0,0.0,12787,True,True,False,h16_wd0
2,expanding_window_nonoverlapping_fixed_287d_test,2016-08-06,2018-06-17,681,2018-06-18,2018-12-04,170,851,2018-12-05,2019-09-17,287,7,1,0.2,0.8,2,ConvLSTMForecast,8,3,1,0.001,matches_existing_287d_holdout,False,False,2016-08-06,2018-02-01,545,2018-02-02,2018-06-17,136,predeclared_2x2_capacity_weight_decay_sensitivity,normalized_mean_pinball_loss,0.2,300,30,30,0.001,1,0.1427658498287201,31,patience_exhausted,120,True,False,True,0.13192164310694846,0.2930621906757063,0.42641074931436823,1.533866928079637,1.125471409780948,1.5890200122193279,0.9173803505404942,1.3279022022326623,0.1211333584869902,0.2798624438385726,0.41405041286337124,1.3854989732812948,1.0173969335540691,1.4376525825274904,0.8303125163206194,1.2063300287651233,0.052760645681189544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,h08_wd0,0.0,4091,True,True,False,h16_wd0
3,expanding_window_nonoverlapping_fixed_287d_test,2016-08-06,2019-02-02,911,2019-02-03,2019-09-17,227,1138,2019-09-18,2020-06-30,287,7,1,0.2,0.8,2,ConvLSTMForecast,16,3,1,0.001,matches_existing_287d_holdout,False,False,2016-08-06,2018-08-04,729,2018-08-05,2019-02-02,182,predeclared_2x2_capacity_weight_decay_sensitivity,normalized_mean_pinball_loss,0.2,300,30,30,0.001,1,0.09611804783344269,31,patience_exhausted,120,True,False,True,0.11977870741473977,0.27389422093767596,0.4077632638429722,1.345100372832187,0.9887317775548478,1.3969976244143518,0.8067532582323983,1.17367982432379,0.1171142400006944,0.2667088115873177,0.3799978321203545,1.2195429732687,0.8969805786148646,1.2703380959248385,0.7329707999533791,1.0772640019678348,0.016944826159146942,0.0026497513895265,0.0,0.0,0.0,0.0,0.0,0.0,h16_wd1e4,0.0001,12787,True,True,False,h16_wd0
1,expanding_window_nonoverlapping_fixed_287d_test,2016-08-06,2017-10-31,452,2017-11-01,2018-02-20,112,564,2018-02-21,2018-12-04,287,7,1,0.2,0.8,3,ConvLSTMForecast,16,3,61,0.001,matches_existing_287d_holdout,False,False,2016-08-06,2017-08-02,362,2017-08-03,2017-10-31,90,predeclared_2x2_capacity_weight_decay_sensitivity,normalized_mean_pinball_loss,0.2,300,30,30,0.001,61,1.3457120656967163,90,patience_exhausted,120,True,False,True,0.15670202464015595,0.3199239109168842,0.4206302713845101,0.4703215771856165,0.4037353397216564,0.5634046501492664,0.36210129916111694,0.5728711316702676,0.14271551089665546,0.30413831994928,0.44791121860644906,1.6626420436618845,1.222121035706272,1.7275324117885469,0.9939451366539771,1.4332330446556816,0.0649050575156025,0.16985714977192856,0.03174808404196483,0.0,0.0,0.0,0.0,0.0,h16_wd0,0.0,12787,True,True,False,h16_wd0
2,expanding_window_nonoverlapping_fixed_287d_test,2016-08-06,2018-06-17,681,2018-06-18,2018-12-04,170,851,2018-12-05,2019-09-17,287,7,1,0.2,0.8,3,ConvLSTMForecast,8,3,24,0.001,matches_existing_287d_holdout,False,False,2016-08-06,2018-02-01,545,2018-02-02,2018-06-17,136,predeclared_2x2_capacity_weight_decay_sensitivity,normalized_mean_pinball_loss,0.2,300,30,30,0.001,24,0.15348246693611145,54,patience_exhausted,120,True,False,True,0.13192164310694846,0.2930621906757063,0.42641074931436823,1.533866928079637,1.125471409780948,1.5890200122193279,0.9173803505404942,1.3279022022326623,0.1211333584869902,0.2798624438385726,0.41405041286337124,1.3854989732812948,1.0173969335540691,1.4376525825274904,0.8303125163206194,1.2063300287651233,0.0784341217953397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,h08_wd0,0.0,4091,True,True,False,h16_wd0
3,expanding_window_nonoverlapping_fixed_287d_test,2016-08-06,2019-02-02,911,2019-02-03,2019-09-17,227,1138,2019-09-18,2020-06-30,287,7,1,0.2,0.8,3,ConvLSTMForecast,16,3,3,0.001,matches_existing_287d_holdout,False,False,2016-08-06,2018-08-04,729,2018-08-05,2019-02-02,182,predeclared_2x2_capacity_weight_decay_sensitivity,normalized_mean_pinball_loss,0.2,300,30,30,0.001,3,0.08612196892499924,33,patience_exhausted,120,True,False,True,0.11977870741473977,0.27389422093767596,0.4077632638429722,1.345100372832187,0.9887317775548478,1.3969976244143518,0.8067532582323983,1.17367982432379,0.1171142400006944,0.2667088115873177,0.3799978321203545,1.2195429732687,0.8969805786148646,1.2703380959248385,0.7329707999533791,1.0772640019678348,0.01995292336522425,0.020756784388254346,0.0,0.0,0.0,0.0,0.0,0.0,h16_wd1e4,0.0001,12787,True,True,False,h16_wd0
1,expanding_window_nonoverlapping_fixed_287d_test,2016-08-06,2017-10-31,452,2017-11-01,2018-02-20,112,564,2018-02-21,2018-12-04,287,7,1,0.2,0.8,4,ConvLSTMForecast,16,3,51,0.001,matches_existing_287d_holdout,False,False,2016-08-06,2017-08-02,362,2017-08-03,2017-10-31,90,predeclared_2x2_capacity_weight_decay_sensitivity,normalized_mean_pinball_loss,0.2,300,30,30,0.001,51,1.2753437757492065,80,patience_exhausted,120,True,False,True,0.15670202464015595,0.3199239109168842,0.4206302713845101,0.4703215771856165,0.4037353397216564,0.5634046501492664,0.36210129916111694,0.5728711316702676,0.14271551089665546,0.30413831994928,0.44791121860644906,1.6626420436618845,1.222121035706272,1.7275324117885469,0.9939451366539771,1.4332330446556816,0.023891354058150682,0.10467885925561404,0.1519515682191468,0.0,0.48876512148649454,0.5537333326296903,0.29444704841989733,0.6412534602927167,h16_wd0,0.0,12787,True,True,False,h16_wd0
2,expanding_window_nonoverlapping_fixed_287d_test,2016-08-06,2018-06-17,681,2018-06-18,2018-12-04,170,851,2018-12-05,2019-09-17,287,7,1,0.2,0.8,4,ConvLSTMForecast,8,3,20,0.001,matches_existing_287d_holdout,False,False,2016-08-06,2018-02-01,545,2018-02-02,2018-06-17,136,predeclared_2x2_capacity_weight_decay_sensitivity,normalized_mean_pinball_loss,0.2,300,30,30,0.001,20,0.1504622846841812,49,patience_exhausted,120,True,False,True,0.13192164310694846,0.2930621906757063,0.42641074931436823,1.533866928079637,1.125471409780948,1.5890200122193279,0.9173803505404942,1.3279022022326623,0.1211333584869902,0.2798624438385726,0.41405041286337124,1.3854989732812948,1.0173969335540691,1.4376525825274904,0.8303125163206194,1.2063300287651233,0.10849428935313199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,h08_wd0,0.0,4091,True,True,False,h16_wd0
3,expanding_window_nonoverlapping_fixed_287d_test,2016-08-06,2019-02-02,911,2019-02-03,2019-09-17,227,1138,2019-09-18,2020-06-30,287,7,1,0.2,0.8,4,ConvLSTMForecast,16,3,1,0.001,matches_existing_287d_holdout,False,False,2016-08-06,2018-08-04,729,2018-08-05,2019-02-02,182,predeclared_2x2_capacity_weight_decay_sensitivity,normalized_mean_pinball_loss,0.2,300,30,30,0.001,1,0.07995934039354324,31,patience_exhausted,120,True,False,True,0.11977870741473977,0.27389422093767596,0.4077632638429722,1.345100372832187,0.9887317775548478,1.3969976244143518,0.8067532582323983,1.17367982432379,0.1171142400006944,0.2667088115873177,0.3799978321203545,1.2195429732687,0.8969805786148646,1.2703380959248385,0.7329707999533791,1.0772640019678348,0.011444098654919799,0.0029272418470327466,0.0,0.0,0.0,0.0,0.0,0.0,h16_wd1e4,0.0001,12787,True,True,False,h16_wd0
